zone_id,trips_pk_in,trips_pk_out,trips_op_in,trips_op_out,trips_day_in,trips_day_out,transit_trips_pk_in,transit_trips_pk_out,transit_trips_op_in,transit_trips_op_out,transit_trips_day_in,transit_trips_day_out
42,0.0,102.15743619999999,107.98971279999999,201.9474775,107.98971279999999,304.1049137,0.0,4.770683519326786,15.184299493960186,19.67471955524902,15.184299493960186,24.445403074575808
43,301.840122,147.8774993,326.754375,392.7465199,628.594497,540.6240192,39.451867140564374,4.149739225094429,40.479022915826114,43.1523852017665,79.9308900563905,47.30212442686093
44,120.7771028,86.10988259999999,166.265692,53.806757,287.0427948,139.9166396,3.9151751848283523,20.241003483728832,21.73063118103834,5.8181001468318305,25.645806365866694,26.059103630560664
45,1231.0536777999998,0.0,1062.7732774,63.5258421,2293.8269552,63.5258421,76.6668588675886,0.0,180.97358768607626,7.768800353981109,257.64044655366484,7.768800353981109
46,0.0,255.08812989999998,0.0,413.1096112,0.0,668.1977411,0.0,20.605799661701226,0.0,70.75350837719574,0.0,91.35930803889697
47,287.693679,0.0,164.97086610000002,592.4104926,452.6645451,592.4104926,24.373330812808998,0.0,18.07892824043972,104.11307911772677,42.45225905324872,104.11307911772677
48,197.65621400000003,30.154652799999997,218.3320353,276.46592019999997,415.9882493,306.620573,17.51657838226964,10.676818430444612,40.3651631736413,74.2763472556114,57.881741555910935,84.95316568605601
49,0.0,361.93092509999997,0.0,0.0,0.0,361.93092509999997,0.0,6.241390967532547,0.0,0.0,0.0,6.241390967532547
50,75.82763259999999,313.5896389,710.4652871,144.945407,786.2929197,458.5350459,9.358758923073156,5.1209921968116925,85.47098835164157,11.458336887257488,94.82974727471472,16.57932908406918
51,0.0,46.904991100000004,101.8973645,191.9274009,101.8973645,238.83239200000003,0.0,7.825722801214787,26.767766933503864,36.34663058161629,26.767766933503864,44.172353382831076
52,652.0641572999999,516.9247004,565.3231244000001,379.26284510000005,1217.3872817000001,896.1875455,34.30587696150494,42.07856252302497,78.77513258778157,62.46788096672191,113.0810095492865,104.54644348974688
