r,d,t1,t2,s1,s2,n1,n2
562,3,18,27.0,15,14.0,717,1067.0
563,3,9.0,18.0,19.0,15.0,370.0,717.0
563,3,18,27.0,15,14.0,717,1067.0
564,3,9.0,18.0,19.0,15.0,370.0,717.0
564,3,18,27.0,15,14.0,717,1067.0
565,3,9.0,18.0,19.0,15.0,370.0,717.0
565,3,18,27.0,15,14.0,717,1067.0
566,3,9.0,18.0,19.0,15.0,370.0,717.0
566,3,18,27.0,15,14.0,717,1067.0
567,3,9.0,18.0,19.0,15.0,370.0,717.0
568,3,9.0,18.0,19.0,15.0,370.0,717.0
569,3,9.0,18.0,19.0,15.0,370.0,717.0
570,3,9.0,18.0,19.0,15.0,370.0,717.0
571,3,9.0,18.0,19.0,15.0,370.0,717.0
572,3,9.0,18.0,19.0,15.0,370.0,717.0
573,3,9.0,18.0,19.0,15.0,370.0,717.0
574,3,9.0,18.0,19.0,15.0,370.0,717.0
575,3,9.0,18.0,19.0,15.0,370.0,717.0
576,3,9.0,18.0,19.0,15.0,370.0,717.0
577,3,9.0,18.0,19.0,15.0,370.0,717.0
594,2,4.0,9.0,20.0,30.0,176.0,381.0
612,4,6.0,9.0,21.0,1.0,255.0,352.0
613,4,6.0,9.0,21.0,1.0,255.0,352.0
613,6,9,10.0,1,1.0,352,391.0
613,4,10,15.0,1,36.0,391,621.0
613,4,15,22.0,36,5.0,621,863.0
614,4,6.0,9.0,21.0,1.0,255.0,352.0
614,6,9,10.0,1,1.0,352,391.0
614,4,10,15.0,1,36.0,391,621.0
614,4,15,22.0,36,5.0,621,863.0
615,4,6.0,9.0,21.0,1.0,255.0,352.0
615,6,9,10.0,1,1.0,352,391.0
615,4,10,15.0,1,36.0,391,621.0
615,6,15,16.0,36,36.0,621,660.0
615,6,16,17.0,36,36.0,660,699.0
615,6,17,18.0,36,36.0,699,738.0
615,6,18,19.0,36,36.0,738,777.0
615,6,19,20.0,36,36.0,777,816.0
615,6,20,21.0,36,36.0,816,855.0
615,6,21,22.0,36,36.0,855,894.0
615,6,22,23.0,36,36.0,894,933.0
615,6,23,24.0,36,36.0,933,972.0
615,6,24,25.0,36,36.0,972,1011.0
615,6,25,26.0,36,36.0,1011,1050.0
615,6,26,27.0,36,36.0,1050,1089.0
615,6,27,28.0,36,36.0,1089,1128.0
615,6,28,29.0,36,36.0,1128,1167.0
615,6,29,30.0,36,36.0,1167,1206.0
615,6,30,31.0,36,36.0,1206,1245.0
615,6,31,32.0,36,36.0,1245,1284.0
615,6,32,33.0,36,36.0,1284,1323.0
615,6,33,34.0,36,36.0,1323,1362.0
615,6,34,35.0,36,36.0,1362,1401.0
615,6,35,36.0,36,36.0,1401,1440.0
615,6,36,37.0,36,36.0,1440,1479.0
615,6,37,38.0,36,36.0,1479,1518.0
615,6,38,39.0,36,36.0,1518,1557.0
615,6,39,40.0,36,36.0,1557,1596.0
615,2,40,45.0,36,1.0,1596,1756.0
615,2,45,49.0,1,4.0,1756,1915.0
615,2,49,54.0,4,6.0,1915,2112.0
622,4,6.0,9.0,21.0,1.0,255.0,352.0
622,6,9,10.0,1,1.0,352,391.0
622,6,10,11.0,1,1.0,391,430.0
622,6,11,12.0,1,1.0,430,469.0
622,6,12,13.0,1,1.0,469,508.0
622,6,13,14.0,1,1.0,508,547.0
622,6,14,15.0,1,1.0,547,586.0
622,6,15,16.0,1,1.0,586,625.0
622,6,16,17.0,1,1.0,625,664.0
622,0,17,22.0,1,24.0,664,882.0
622,0,22,26.0,24,23.0,882,1037.0
623,4,6.0,9.0,21.0,1.0,255.0,352.0
623,6,9,10.0,1,1.0,352,391.0
623,6,10,11.0,1,1.0,391,430.0
623,6,11,12.0,1,1.0,430,469.0
623,6,12,13.0,1,1.0,469,508.0
623,6,13,14.0,1,1.0,508,547.0
623,6,14,15.0,1,1.0,547,586.0
623,6,15,16.0,1,1.0,586,625.0
623,6,16,17.0,1,1.0,625,664.0
623,0,17,22.0,1,24.0,664,882.0
638,5,26,31.0,24,1.0,1038,1210.0
639,5,26,31.0,24,1.0,1038,1210.0
640,0,22,26.0,24,23.0,882,1037.0
640,0,26,30.0,23,6.0,1037,1176.0
642,5,14,20.0,24,28.0,570,808.0
668,3,0.0,9.0,29.0,19.0,29.0,370.0
668,3,9,18.0,19,15.0,370,717.0
668,3,18,27.0,15,14.0,717,1067.0
668,3,27,28.0,14,14.0,1067,1106.0
668,3,28,29.0,14,14.0,1106,1145.0
669,3,0.0,9.0,29.0,19.0,29.0,370.0
669,3,9,18.0,19,15.0,370,717.0
669,3,18,27.0,15,14.0,717,1067.0
669,3,27,28.0,14,14.0,1067,1106.0
669,3,28,29.0,14,14.0,1106,1145.0
670,3,0.0,9.0,29.0,19.0,29.0,370.0
670,3,9,18.0,19,15.0,370,717.0
670,3,18,27.0,15,14.0,717,1067.0
671,2,9.0,16.0,30.0,5.0,381.0,629.0
671,2,16,23.0,5,35.0,629,932.0
671,2,23,27.0,35,10.0,932,1063.0
671,2,27,32.0,10,2.0,1063,1250.0
672,2,9.0,16.0,30.0,5.0,381.0,629.0
672,2,16,23.0,5,35.0,629,932.0
672,2,23,27.0,35,10.0,932,1063.0
