"emp1","emp2","emp3","emp4","emp5"
1090,740,1540,1125,1065
1510,1510,340,955,1195
930,1510,440,1125,985
1715,585,875,415,585
590,855,415,580,1715
585,930,1495,1715,1380
875,1495,1380,875,1875
655,1510,1510,955,650
955,650,955,930,580
590,1875,1510,955,590
715,1065,1090,1065,1875
905,930,1510,715,1510
955,955,985,1510,905
985,905,930,955,715
100,1304,152,4057,335
1875,2350,985,1065,1065
715,1805,690,1065,1720
715,690,1715,1805,1720
555,1065,930,1065,1125
740,740,955,1090,1875
985,1875,985,1510,590
1716,100,20,335,17
1716,102,100,455,769
3,1304,384,100,335
100,60,143,124,4057
1040,985,1380,1090,1875
1875,415,1090,985,1380
1095,1095,715,1875,1895
580,1065,655,1495,1875
630,1875,1510,655,715
1510,715,630,630,1875
955,1875,1540,985,675
105,100,4158,19,139
298,100,2975,2975,676
985,1065,715,1715,1125
1510,1715,1875,1510,2350
1125,985,1510,985,655
1095,985,715,1125,655
1095,1065,1875,1125,930
340,1125,1095,1065,1195
13,100,90,344,129
68,100,4158,13,85
1065,955,1715,1715,930
1090,985,1040,1510,415
2350,1380,1065,1090,415
1095,440,985,955,1125
740,1000,1510,1510,1875
93,32,100,481,384
75,1333,102,100,68
100,105,609,90,124
60,20,100,17,124
17,100,291,90,6
580,955,930,580,1510
1095,1875,655,1875,580
1090,1875,1875,1895,655
715,1895,1875,655,955
1495,955,1875,655,1895
1065,955,1090,955,1495
1875,1895,955,955,1095
1065,715,655,715,1895
1875,1095,715,715,1090
1495,715,1065,715,1875
1875,655,1495,955,1895
1495,1095,715,1090,655
1715,955,1715,580,655
655,1715,955,1715,930
650,955,1715,930,1715
955,1510,1715,650,655
955,1715,580,1715,930
905,1715,1720,1805,2350
1720,1510,1720,690,2350
1805,1720,905,1065,1405
1040,1720,905,1495,1805
1065,905,1405,1125,1040
1090,905,1495,1875,1405
985,1095,1715,1510,565
985,1145,1510,985,740
1090,1805,1065,1125,1405
1090,1875,1040,905,1495
1065,1125,715,655,1095
955,655,1715,650,580
490,655,1875,1875,440
490,655,1875,985,440
955,895,955,985,725
1380,1125,740,955,1560
660,1090,1380,1125,945
985,700,1380,895,945
1090,985,590,655,700
740,955,895,725,510
725,895,985,700,1380
700,945,1125,1560,1090
1495,630,1090,1090,1400
700,700,760,1715,655
760,985,1495,630,655
655,700,1400,1090,1715
1400,1495,655,565,1380
630,630,1715,985,1455
1715,700,1400,1400,1125
1125,915,630,1400,1715
760,915,630,1715,1380
1455,1400,1715,700,630
435,1400,1125,700,1380
490,440,1875,985,440
490,490,1875,985,440
490,490,1875,985,440
1095,1095,1875,985,955
1065,1095,985,985,955
1380,930,1875,855,580
630,1510,1095,860,1065
845,1875,1805,740,875
845,1125,340,1560,1095
2350,930,1715,955,1510
1510,1875,1095,1715,1125
1095,715,1495,655,1090
1875,740,1090,955,1495
