,dist1,dist2,dist3,dist4,dist5
257,7.76,6.47,2.41,0.0,2.36
258,7.76,2.41,6.47,2.89,2.89
259,2.36,7.76,2.41,2.89,0.0
260,6.47,2.41,6.47,2.36,7.76
261,2.36,3.44,6.47,2.36,7.76
262,3.44,6.47,2.89,0.0,7.76
263,2.89,2.89,6.47,7.76,0.0
264,7.76,2.41,2.36,0.0,3.44
265,2.89,2.41,6.47,0.0,2.36
266,2.36,2.89,7.76,2.89,6.47
267,2.89,7.76,2.36,0.0,2.36
268,5.1899999999999995,4.67,2.23,11.84,0.0
269,3.55,5.1899999999999995,7.74,4.67,3.51
270,8.55,7.74,9.36,5.05,9999.0
271,8.55,2.23,8.81,3.01,9999.0
272,9999.0,5.05,8.55,8.55,9.36
273,9.36,3.51,8.53,3.51,5.05
274,7.9399999999999995,9999.0,9999.0,9999.0,9999.0
275,10.11,9999.0,7.529999999999999,12.04,9999.0
276,5.8,9999.0,9999.0,6.98,7.15
277,12.04,12.04,5.8,10.11,9999.0
278,5.9,6.33,3.55,3.51,3.01
279,5.9,9.36,3.51,9999.0,8.81
280,7.74,8.030000000000001,7.74,9.36,5.05
281,8.53,0.0,8.55,5.9,9999.0
282,3.55,8.53,5.84,5.05,2.23
283,3.01,9999.0,8.81,5.05,5.9
284,5.84,5.9,8.81,5.1899999999999995,0.0
285,0.0,4.67,3.01,3.51,8.55
286,8.67,10.340000000000002,8.67,9.360000000000001,2.71
287,4.69,8.67,8.930000000000001,2.71,3.37
288,2.71,6.32,7.24,9.360000000000001,8.67
289,2.71,7.24,9999.0,9999.0,4.69
290,4.88,1.91,2.18,9.67,2.18
291,1.3,4.39,4.88,2.18,4.05
292,4.47,9999.0,4.88,2.42,2.9699999999999998
293,7.07,6.67,9.77,7.07,4.6
294,4.6,7.359999999999999,7.949999999999999,9.08,9999.0
295,9999.0,7.07,9999.0,7.949999999999999,6.67
296,28.28,20.61,20.61,13.559999999999999,11.829999999999998
297,17.9,6.65,20.61,13.559999999999999,11.59
298,9999.0,10.340000000000002,7.24,8.930000000000001,2.71
299,8.67,6.32,8.930000000000001,9.360000000000001,2.71
300,8.56,4.03,4.09,0.0,4.09
301,6.33,0.0,4.03,4.09,8.56
302,16.36,14.01,17.97,15.13,21.23
303,16.36,18.7,18.59,29.259999999999998,15.930000000000001
304,8.67,15.0,4.69,15.0,8.930000000000001
305,4.69,10.340000000000002,6.32,8.67,7.24
