"dat_id","per_id","age","gender","income","lic","mode","purpose","X","geoid_o","sampno","deptime","geoid_d","zid","arrtime","dist","autoivtt","darivtt","walktt","costauto","sharedridecost","darefare","busfare","buswaitt","bustt","u_perid","emp","child16","hh_auto","PERRKWT0"
3,207573801,4,1,2,1,4,3,3,260210021003,2075738,"5/11/2015 9:43",260210021003,260000000000,"5/11/2015 9:52",0.85,1.275,1.457142857,14.57142857,0.51,0.204,2.085,1.0425,-99999,2.04,1,0,-99999,2,78.6910271
3,207573801,4,1,2,1,4,3,3,260210021003,2075738,"5/11/2015 13:45",260210021003,260000000000,"5/11/2015 13:57",0.85,1.275,1.457142857,14.57142857,0.51,0.204,2.085,1.0425,-99999,2.04,0,0,-99999,2,78.6910271
3,207702702,4,1,7,1,4,3,3,260210014001,2077027,"4/21/2015 4:15",260210111001,260000000000,"4/21/2015 4:32",7.97,11.955,13.66285714,136.6285714,4.782,1.9128,2.797,1.3985,-99999,19.128,0,0,-99999,4,59.0213998
3,207702703,3,2,7,1,4,6,6,260210014001,2077027,"4/21/2015 7:02",260210017002,260000000000,"4/21/2015 7:13",2.54,3.81,4.354285714,43.54285714,1.524,0.6096,2.254,1.127,-99999,6.096,1,5,-99999,4,113.6475943
3,208234602,4,2,9,1,4,7,7,260210014001,2082346,"5/5/2015 15:35",260210018002,260000000000,"5/5/2015 15:45",2.16,3.24,3.702857143,37.02857143,1.296,0.5184,2.216,1.108,-99999,5.184,0,0,-99999,2,115.2247483
3,208704701,5,1,5,1,4,9,9,260210014001,2087047,"4/30/2015 11:00",260210021003,260000000000,"4/30/2015 11:15",6.58,9.87,11.28,112.8,3.948,1.5792,2.658,1.329,-99999,15.792,0,1,-99999,2,52.6323074
3,208786001,5,2,1,1,4,13,13,260210025002,2087860,"5/7/2015 12:40",260210008001,260000000000,"5/7/2015 13:00",2.71,4.065,4.645714286,46.45714286,1.626,0.6504,2.271,1.1355,-99999,6.504,0,1,-99999,1,84.9041133
3,208786001,5,2,1,1,4,15,15,260210025002,2087860,"5/7/2015 18:05",260210017002,260000000000,"5/7/2015 19:05",2.86,4.29,4.902857143,49.02857143,1.716,0.6864,2.286,1.143,-99999,6.864,0,1,-99999,1,84.9041133
3,209387001,4,2,1,1,11,12,12,260210021003,2093870,"4/30/2015 14:30",260210021001,260000000000,"4/30/2015 14:45",1.35,2.025,2.314285714,23.14285714,0.81,0.324,2.135,1.0675,-99999,3.24,0,6,-99999,0,85.4184356
3,209387001,4,2,1,1,1,14,14,260210021003,2093870,"4/30/2015 18:00",260210021003,260000000000,"4/30/2015 18:15",0.26,0.39,0.445714286,4.457142857,0.156,0.0624,2.026,1.013,-99999,0.624,0,6,-99999,0,85.4184356
3,209387002,5,1,1,2,11,12,12,260210021003,2093870,"4/30/2015 14:30",260210021001,260000000000,"4/30/2015 14:45",1.35,2.025,2.314285714,23.14285714,0.81,0.324,2.135,1.0675,-99999,3.24,0,6,-99999,0,79.050322
3,209642401,5,2,4,1,4,13,13,260210016001,2096424,"4/20/2015 11:55",260210016001,260000000000,"4/20/2015 12:51",0.94,1.41,1.611428571,16.11428571,0.564,0.2256,2.094,1.047,-99999,2.256,0,1,-99999,1,60.6501392
3,209642401,5,2,4,1,4,14,14,260210016001,2096424,"4/20/2015 17:06",260210008002,260000000000,"4/20/2015 17:23",6.35,9.525,10.88571429,108.8571429,3.81,1.524,2.635,1.3175,-99999,15.24,0,1,-99999,1,60.6501392
3,209943101,6,2,4,1,5,19,19,260210016001,2099431,"4/28/2015 6:50",260210018002,260000000000,"4/28/2015 7:00",3.83,5.745,6.565714286,65.65714286,2.298,0.9192,2.383,1.1915,-99999,9.192,0,1,-99999,1,51.915401
3,209943101,6,2,4,1,5,9,9,260210016001,2099431,"4/28/2015 16:30",260210014003,260000000000,"4/28/2015 16:43",2.13,3.195,3.651428571,36.51428571,1.278,0.5112,2.213,1.1065,-99999,5.112,0,1,-99999,1,51.915401
3,209943102,6,1,4,1,4,12,12,260210016001,2099431,"4/28/2015 6:50",260210018002,260000000000,"4/28/2015 7:00",2.68,4.02,4.594285714,45.94285714,1.608,0.6432,2.268,1.134,-99999,6.432,0,1,-99999,1,49.6451872
3,209943102,6,1,4,1,4,13,13,260210016001,2099431,"4/28/2015 16:30",260210014003,260000000000,"4/28/2015 16:43",1.26,1.89,2.16,21.6,0.756,0.3024,2.126,1.063,-99999,3.024,0,1,-99999,1,49.6451872
3,209943102,6,1,4,1,1,15,15,260210016001,2099431,"4/28/2015 19:20",260210016001,260000000000,"4/28/2015 19:25",0.18,0.27,0.308571429,3.085714286,0.108,0.0432,2.018,1.009,-99999,0.432,0,1,-99999,1,49.6451872
3,209954101,5,2,5,1,5,12,12,260210025002,2099541,"4/27/2015 8:11",260210011001,260000000000,"4/27/2015 8:22",6.6,9.9,11.31428571,113.1428571,3.96,1.584,2.66,1.33,-99999,15.84,1,1,-99999,1,48.388472
3,209954101,5,2,5,1,5,16,16,260210025002,2099541,"4/27/2015 16:11",260210009001,260000000000,"4/27/2015 16:23",5.22,7.83,8.948571429,89.48571429,3.132,1.2528,2.522,1.261,-99999,12.528,0,1,-99999,1,48.388472
3,209954102,5,1,5,1,4,12,12,260210025002,2099541,"4/27/2015 8:11",260210011001,260000000000,"4/27/2015 8:22",6.6,9.9,11.31428571,113.1428571,3.96,1.584,2.66,1.33,-99999,15.84,1,1,-99999,1,46.2724876
3,209954102,5,1,5,1,4,16,16,260210025002,2099541,"4/27/2015 16:11",260210009001,260000000000,"4/27/2015 16:23",5.22,7.83,8.948571429,89.48571429,3.132,1.2528,2.522,1.261,-99999,12.528,0,1,-99999,1,46.2724876
3,209972301,4,1,3,1,4,3,3,260210024002,2099723,"5/5/2015 6:30",260210004002,260000000000,"5/5/2015 6:45",5.49,8.235,9.411428571,94.11428571,3.294,1.3176,2.549,1.2745,-99999,13.176,0,0,-99999,2,63.5258421
3,210040001,4,2,5,1,4,17,17,260210014002,2100400,"5/19/2015 4:45",260210021003,260000000000,"5/19/2015 5:00",6.96,10.44,11.93142857,119.3142857,4.176,1.6704,2.696,1.348,-99999,16.704,0,0,-99999,3,58.4125824
