"dat_id","per_id","age","gender","income","lic","mode","purpose","X","geoid_o","sampno","deptime","geoid_d","zid","arrtime","dist","autoivtt","darivtt","walktt","costauto","sharedridecost","darefare","busfare","buswaitt","bustt","u_perid","emp","child16","hh_auto","dist1","dist2","dist3","dist4","dist5","emp1","emp2","emp3","emp4","emp5","geoid1","geoid2","geoid3","geoid4","geoid5"
3,205982701,4,1,1,1,4,17,17,260210021003,2059827,"4/27/2015 13:00",261590114001,262000000000,"4/27/2015 13:35",15.8,23.7,27.08571429,270.8571429,9.48,3.792,3.58,1.79,-99999,37.92,0,1,-99999,1,15.8,10.44,2.44,4.13,0.555,915,740,1380,875,1715,261590114001,260210102007,260210005001,260210023002,260210020003
3,206245403,4,1,7,1,4,3,3,260210014001,2062454,"4/27/2015 11:07",260210014002,260000000000,"4/27/2015 11:14",2.55,3.825,4.371428571,43.71428571,1.53,0.612,2.255,1.1275,-99999,6.12,0,0,-99999,2,2.55,8.73,6.78666666666667,1.19666666666667,2.87666666666667,905,1400,985,1720,1065,260210014002,260210003001,260210021003,260210014001,260210014003
3,206245403,4,1,7,1,4,3,3,260210014001,2062454,"4/27/2015 17:34",260210014002,260000000000,"4/27/2015 17:42",2.55,3.825,4.371428571,43.71428571,1.53,0.612,2.255,1.1275,-99999,6.12,0,0,-99999,2,8.73,1.03,2.55,0.69,29.62,1400,1875,905,1805,415,260210003001,260210016001,260210014002,260210017003,261590113005
3,206255001,4,2,7,1,4,9,9,260210014001,2062550,"5/12/2015 16:30",260210014003,260000000000,"5/12/2015 16:38",3.31,4.965,5.674285714,56.74285714,1.986,0.7944,2.331,1.1655,-99999,7.944,0,2,-99999,3,6.75,2.87666666666667,6.78666666666667,2.3225,29.62,1380,1065,985,715,415,260210005001,260210014003,260210021003,260210017002,261590113005
3,206255003,1,1,7,-99999,5,9,9,260210014001,2062550,"5/12/2015 16:30",260210014003,260000000000,"5/12/2015 16:38",3.31,4.965,5.674285714,56.74285714,1.986,0.7944,2.331,1.1655,-99999,7.944,0,-99999,-99999,3,8.73,2.11,2.87666666666667,5.76,2.3225,1400,1040,1065,1715,715,260210003001,260210013001,260210014003,260210020003,260210017002
3,206255004,1,1,7,-99999,5,9,9,260210014001,2062550,"5/12/2015 16:30",260210014003,260000000000,"5/12/2015 16:38",3.31,4.965,5.674285714,56.74285714,1.986,0.7944,2.331,1.1655,-99999,7.944,0,-99999,-99999,3,2.87666666666667,6.78666666666667,6.75,2.3225,8.73,1065,985,1380,715,1400,260210014003,260210021003,260210005001,260210017002,260210003001
3,207375601,4,2,5,1,4,3,3,260210008002,2073756,"5/4/2015 8:12",260210004002,260000000000,"5/4/2015 8:20",2.45,3.675,4.2,42,1.47,0.588,2.245,1.1225,-99999,5.88,1,0,-99999,1,2.492,3.19,2.95,3.375,0.5,655,1510,985,1125,715,260210004002,260210015001,260210021003,260210025002,260210017002
3,207375601,4,2,5,1,4,3,3,260210008002,2073756,"5/4/2015 12:50",260210004002,260000000000,"5/4/2015 13:00",2.45,3.675,4.2,42,1.47,0.588,2.245,1.1225,-99999,5.88,0,0,-99999,1,6.37,0.5,2.492,2.492,3.375,1095,715,655,655,1125,260210015002,260210017002,260210004002,260210004002,260210025002
3,207456501,4,1,5,1,4,5,5,260210014001,2074565,"4/20/2015 8:30",260210018002,260000000000,"4/20/2015 8:45",2.8,4.2,4.8,48,1.68,0.672,2.28,1.14,-99999,6.72,1,0,-99999,2,1.19666666666667,2.48,29.62,2.48,2.3225,1720,1090,415,1090,715,260210014001,260210018002,261590113005,260210018002,260210017002
3,207456502,4,2,5,1,4,13,13,260210014001,2074565,"4/20/2015 8:00",260210003001,260000000000,"4/20/2015 8:15",8.73,13.095,14.96571429,149.6571429,5.238,2.0952,2.873,1.4365,-99999,20.952,1,0,-99999,2,29.62,2.11,8.73,6.75,8.73,415,1040,1400,1380,1400,261590113005,260210013001,260210003001,260210005001,260210003001
