,time1,time2,time3,time4,time5
226,9999.0,11.120000000000001,24.78,0.0,37.529999999999994
227,15.31,0.0,19.64,13.08,7.48
228,17.68,19.64,7.4,7.48,7.4
229,15.31,8.75,0.0,7.4,19.64
230,19.64,10.58,8.75,9999.0,13.08
231,7.4,9999.0,7.4,0.0,19.64
232,10.58,7.4,0.0,7.4,8.75
233,0.0,25.86,8.75,15.31,25.86
234,9999.0,10.58,0.0,7.4,8.75
235,18.7,8.05,23.21,23.21,28.86
236,7.7,8.0,8.2,8.2,8.0
237,8.0,8.2,11.72,10.78,4.1
238,15.93,7.27,15.93,21.61,19.75
239,15.93,30.21,10.75,21.61,24.78
240,19.75,20.08,7.27,13.0,10.75
241,7.4,7.4,17.68,25.86,9999.0
242,25.86,19.64,9999.0,7.4,13.08
243,24.550000000000004,18.53,18.59,9999.0,24.550000000000004
244,24.550000000000004,24.550000000000004,30.610000000000003,18.53,18.78
245,19.64,10.58,7.4,5.53,7.4
246,10.58,19.64,15.31,7.4,9999.0
247,7.4,25.86,15.25,8.75,10.58
248,22.81,22.81,14.98,30.619999999999997,10.870000000000001
249,14.98,30.619999999999997,10.77,14.98,35.08
250,20.230000000000004,20.230000000000004,15.379999999999999,8.11,0.0
251,3.53,20.230000000000004,20.230000000000004,4.63,0.0
252,4.63,3.53,4.63,8.11,0.0
253,10.35,14.16,11.57,9999.0,17.53
254,10.35,17.53,9999.0,11.57,8.72
255,5.53,9999.0,17.68,5.53,15.25
256,8.75,25.86,5.53,0.0,25.86
257,20.230000000000004,15.379999999999999,4.63,0.0,3.53
258,20.230000000000004,4.63,15.379999999999999,5.72,5.72
259,3.53,20.230000000000004,4.63,5.72,0.0
260,15.379999999999999,4.63,15.379999999999999,3.53,20.230000000000004
261,3.53,8.11,15.379999999999999,3.53,20.230000000000004
262,8.11,15.379999999999999,5.72,0.0,20.230000000000004
263,5.72,5.72,15.379999999999999,20.230000000000004,0.0
264,20.230000000000004,4.63,3.53,0.0,8.11
265,5.72,4.63,15.379999999999999,0.0,3.53
266,3.53,5.72,20.230000000000004,5.72,15.379999999999999
267,5.72,20.230000000000004,3.53,0.0,3.53
268,10.030000000000001,11.93,4.15,22.380000000000003,0.0
