r,d,t1,t2,s1,s2,n1,n2
273,3,77,82,0,29,5313,5687
273,3,82,87,29,52,5687,6055
273,3,87,91,52,50,6055,6329
273,8,91,92,50,50,6329,6398
273,8,92,93,50,50,6398,6467
273,8,93,94,50,50,6467,6536
273,8,94,95,50,50,6536,6605
273,8,95,96,50,50,6605,6674
273,8,96,97,50,50,6674,6743
273,8,97,98,50,50,6743,6812
273,8,98,99,50,50,6812,6881
273,3,99,101,50,6,6881,6975
273,8,101,102,6,6,6975,7044
273,8,102,103,6,6,7044,7113
273,3,103,106,6,64,7113,7378
275,4,30,34,39,38,2109,2384
276,1,47,51,38,39,3281,3558
278,0,10,15,29,31,719,1066
278,0,15,17,31,30,1066,1203
278,8,17,18,30,30,1203,1272
278,8,18,19,30,30,1272,1341
278,8,19,20,30,30,1341,1410
278,8,20,21,30,30,1410,1479
278,8,21,22,30,30,1479,1548
278,8,22,23,30,30,1548,1617
278,0,23,26,30,38,1617,1832
Matching Rate: 0.4157706093189964
