trip_id,on_id,off_id,od
6547,13,68,"(13, 68)"
6548,104,82,"(104, 82)"
6549,77,105,"(77, 105)"
6550,24,83,"(24, 83)"
6552,67,104,"(67, 104)"
6553,71,86,"(71, 86)"
6554,21,74,"(21, 74)"
6555,15,3,"(15, 3)"
6556,3,86,"(3, 86)"
6557,14,3,"(14, 3)"
6558,21,5,"(21, 5)"
6559,73,99,"(73, 99)"
6560,135,45,"(135, 45)"
6561,78,33,"(78, 33)"
6562,16,73,"(16, 73)"
6563,135,73,"(135, 73)"
6564,135,15,"(135, 15)"
6565,6,33,"(6, 33)"
6566,111,45,"(111, 45)"
6567,150,161,"(150, 161)"
6568,71,22,"(71, 22)"
6569,67,104,"(67, 104)"
6570,82,12,"(82, 12)"
6571,23,13,"(23, 13)"
6572,3,77,"(3, 77)"
6573,15,5,"(15, 5)"
6574,78,62,"(78, 62)"
6575,67,73,"(67, 73)"
6576,23,19,"(23, 19)"
6577,3,18,"(3, 18)"
6578,3,150,"(3, 150)"
6579,6,162,"(6, 162)"
6580,161,82,"(161, 82)"
6581,159,105,"(159, 105)"
6582,111,4,"(111, 4)"
6583,137,12,"(137, 12)"
6584,4,78,"(4, 78)"
6585,3,150,"(3, 150)"
6586,13,67,"(13, 67)"
6587,22,23,"(22, 23)"
6588,3,3,"(3, 3)"
6589,27,73,"(27, 73)"
6590,17,78,"(17, 78)"
6591,17,4,"(17, 4)"
6592,104,104,"(104, 104)"
6593,73,12,"(73, 12)"
6594,12,24,"(12, 24)"
6595,161,150,"(161, 150)"
6596,3,87,"(3, 87)"
6597,3,15,"(3, 15)"
6598,3,15,"(3, 15)"
6599,3,15,"(3, 15)"
6600,3,15,"(3, 15)"
6601,114,15,"(114, 15)"
6602,150,99,"(150, 99)"
6603,14,74,"(14, 74)"
6604,12,90,"(12, 90)"
6605,161,16,"(161, 16)"
6606,161,15,"(161, 15)"
6607,100,15,"(100, 15)"
6608,14,17,"(14, 17)"
6609,96,83,"(96, 83)"
6610,105,3,"(105, 3)"
6611,68,13,"(68, 13)"
6612,68,13,"(68, 13)"
6613,68,13,"(68, 13)"
6614,71,22,"(71, 22)"
6615,161,73,"(161, 73)"
6616,102,45,"(102, 45)"
6617,135,3,"(135, 3)"
6618,3,104,"(3, 104)"
6619,91,150,"(91, 150)"
6620,124,102,"(124, 102)"
6621,17,161,"(17, 161)"
6622,42,3,"(42, 3)"
6623,162,6,"(162, 6)"
6624,17,14,"(17, 14)"
6625,150,143,"(150, 143)"
6626,24,74,"(24, 74)"
6627,135,15,"(135, 15)"
6628,150,15,"(150, 15)"
6629,67,99,"(67, 99)"
6631,67,14,"(67, 14)"
6632,67,74,"(67, 74)"
6633,150,21,"(150, 21)"
6634,150,15,"(150, 15)"
6635,150,73,"(150, 73)"
6636,150,17,"(150, 17)"
6637,150,79,"(150, 79)"
6638,150,12,"(150, 12)"
6639,150,19,"(150, 19)"
6640,14,150,"(14, 150)"
6641,93,160,"(93, 160)"
